genus,species,"base of range (Ma)","top of range (Ma)",collections,"with abundances","geometric mean abundance"
Blackia,sp.,15.970,13.650,2,0,NaN
Blackia,ulmensis,22.400,20.000,2,0,NaN
Blackia,woelfersheimensis,5.332,3.200,1,0,NaN
Blainvillimys,blainvillei,33.900,28.400,1,0,NaN
Blainvillimys,helmeri,33.900,28.400,2,0,NaN
Blainvillimys,langei,33.900,28.400,2,1,0.3846
Blainvillimys,rotundidens,37.200,33.900,2,0,NaN
Blancomys,dubius,5.332,3.200,2,0,NaN
Blancomys,neglectus,5.332,3.200,4,2,0.0361
Blancomys,sanzi,7.246,4.900,1,0,NaN
Blarinella,dubia,4.900,4.200,2,0,NaN
Blarinella,sp.,7.246,2.588,2,1,0.0123
Blarinoides,aliciae,3.200,2.588,1,0,NaN
Blarinoides,chalinei,3.600,2.588,1,0,NaN
Blarinoides,mariae,4.900,1.806,12,1,0.0083
Blarinoides,sp.,4.900,2.588,2,0,NaN
Bohlinia,attica,8.700,5.332,1,0,NaN
Bolodon,crassidens,145.500,140.200,1,1,0.0130
Bolodon,elongatus,145.500,140.200,1,1,0.0130
Bolodon,falconeri,145.500,140.200,1,0,NaN
Bolodon,minor,145.500,140.200,1,1,0.0130
Bolodon,osborni,145.500,140.200,2,1,0.0130
Bolodon,sp.,145.500,140.200,1,0,NaN
Borealestes,mussetti,167.700,164.700,1,1,0.1690
Borealestes,serendipitus,167.700,164.700,4,2,0.2783
Bos,elatus,0.781,0.126,1,0,NaN
Bos,primigenius,2.588,0.000,25,5,0.0346
Bos,sp.,2.588,0.12,14,0,NaN
Bos,tarus,0.012,0.000,1,0,NaN
Bos,taurus,0.012,0.000,2,1,0.0870
Bothriodon,velaunum,33.900,28.400,1,0,NaN
Brachipposideros,dechaseauxi,20.430,15.970,1,0,NaN
Brachyodus,intermedius,20.430,15.970,1,0,NaN
Brachyodus,onoideus,20.000,15.970,11,0,NaN
Brachypotherium,aurelianense,20.000,15.970,6,1,1.0000
Brachypotherium,aurelianensis,16.900,15.970,1,0,NaN
Brachypotherium,brachypus,16.900,11.608,20,2,0.0635
Brachypotherium,sp.,16.900,11.608,2,0,NaN
Brachyzostrodon,coupatezi,221.500,201.600,1,0,NaN
Brachyzostrodon,maior,221.500,201.600,1,0,NaN
Brachyzostrodon,"sp. 1",221.500,201.600,1,0,NaN
Brachyzostrodon,"sp. 2",221.500,201.600,1,0,NaN
Bransatoglis,astaracensis,16.900,9.700,16,1,0.0083
Bransatoglis,astarancensis,13.650,11.608,1,0,NaN
Bransatoglis,attenuatus,33.900,28.400,1,0,NaN
Bransatoglis,bahloi,37.200,33.900,7,5,0.1156
Bransatoglis,cadeoti,16.900,13.650,3,0,NaN
Bransatoglis,concavidens,28.400,23.030,3,0,NaN
Bransatoglis,fugax,28.400,15.970,7,0,NaN
Bransatoglis,infralactorensis,22.400,20.000,2,0,NaN
Bransatoglis,parvus,33.900,28.400,1,0,NaN
Bransatoglis,sp.,37.200,11.608,11,1,0.1064
Bridetherium,dorisae,201.600,189.600,1,1,0.9926
Broiliana,nobilis,20.000,16.900,1,1,0.1111
Broiliana,sp.,23.030,22.400,1,0,NaN
Bunobrachyodus,sp.,33.900,28.400,1,0,NaN
Bunolistriodon,latidens,16.900,15.970,2,0,NaN
Bunolistriodon,lockharti,16.900,5.332,23,1,0.0625
Burtinopsis,sp.,13.650,1.806,9,0,NaN
Bustylus,cernaysi,61.700,55.800,3,0,NaN
Bustylus,folieae,65.500,58.700,1,0,NaN
Bustylus,marandati,65.500,58.700,1,0,NaN
